,breakfast,cancelation,guest_reviews,location,price_AZN,review_number,title,type_room,distance_km,latitude,longitude
263,Yes,No,Very Good,Other,65.0,34,Atlas Hotel Baku,Double Room,4.8,,
264,Yes,Yes,Very Good,Other,81.0,57,Teatro Rooms Hotel,Double Room,4.8,,
265,Yes,No,Good,Nasimi,90.0,85,Ganjali Plaza Hotel,Standard Double or Twin Room,1.7,40.39482299502607,49.82684828968684
266,No,Yes,Score under 7,Nasimi,64.0,9,AF Hotel Baku,Standard Double Room,1.4,40.39482299502607,49.82684828968684
267,No,Yes,,Sabayil,85.0,,Прекрасный вид на море.Центр города. Есть wi-fi,One-Bedroom Apartment,1.5,40.34018472008257,49.81870865057885
268,Yes,Yes,Very Good,Other,50.0,26,Golden City Hotel Baku,Standard Single Room,,,
269,No,Yes,,Other,61.0,,Bakuvi Apartments on New Boulveard,Budget Double Room,2.4,,
270,Yes,Yes,Excellent,Sabayil,35.0,13,Baku Romantik Hotel,Standard Single Room,2.3,40.34018472008257,49.81870865057885
271,No,Yes,Very Good,Sabayil,45.0,11,DJ City Hotel,Standard Single Room,0.5,40.34018472008257,49.81870865057885
272,Yes,Yes,Wonderful,Sabayil,53.0,8,My Music Karaoke Hotel,Economy Double Room,3.6,40.34018472008257,49.81870865057885
