,breakfast,cancelation,guest_reviews,location,price_AZN,review_number,title,type_room,distance_km,latitude,longitude
848,Yes,No,Excellent,Vake,161.0,373,Hotel Atlas Abashidze,Single Room,4.1,41.70553522376798,44.75495342831405
849,No,Yes,Wonderful,Old Tbilisi,96.0,63,Wine Rock Hotel,Budget Double Room,1.2,41.69209658252052,44.79406059228808
850,No,Yes,Score under 7,Chugureti,22.0,43,guest house Artisha,Male Dormitory Room,2.1,41.72340168819495,44.82088685166248
851,No,Yes,Exceptional,Chugureti,83.0,64,Mose art Hotel,Luxury Triple Room,1.2,41.72340168819495,44.82088685166248
852,No,No,Very Good,Old Tbilisi,36.0,17,Old tbilisi,One-Bedroom Apartment,0.7,41.69209658252052,44.79406059228808
853,No,Yes,Excellent,Old Tbilisi,90.0,441,Apartment Tamarioni,Double Room,0.9,41.69209658252052,44.79406059228808
854,No,Yes,Very Good,Other,125.0,602,TM Apart Hotel,Standard Double Room,3.6,,
855,Yes,No,Very Good,Old Tbilisi,113.0,122,Gallery Palace,Standard Single Room,0.3,41.69209658252052,44.79406059228808
856,No,Yes,Excellent,Old Tbilisi,41.0,140,Guest House Imereti,Economy Twin Room,,41.69209658252052,44.79406059228808
857,No,Yes,Wonderful,Chugureti,50.0,178,City Hotel,Double Room,,41.72340168819495,44.82088685166248
858,No,Yes,Excellent,Mtatsminda,138.0,63,Hotel Griboedov,Double Room,0.8,41.693060457156996,44.78551384334914
859,No,Yes,Exceptional,Other,75.0,17,"Cozy 1-bedroom unit in Tbilisi, with amazing view",One-Bedroom Apartment,3.4,,
860,Yes,No,Excellent,Old Tbilisi,259.0,1290,Ambassadori Tbilisi Hotel,Classic Double (Historical Building),0.5,41.69209658252052,44.79406059228808
861,No,Yes,Exceptional,Mtatsminda,242.0,9,Rustaveli Residence III,Two-Bedroom Apartment,0.6,41.693060457156996,44.78551384334914
862,No,Yes,Very Good,Old Tbilisi,78.0,12,your home in tbilisi,Apartment with Balcony,1.3,41.69209658252052,44.79406059228808
863,No,No,Wonderful,Old Tbilisi,69.0,80,Two Lions Hotel,Twin Room,0.6,41.69209658252052,44.79406059228808
864,No,Yes,,Other,75.0,,Luxery Apartment Tbilisi 2,Two-Bedroom Apartment,3.6,,
865,No,Yes,Excellent,Mtatsminda,56.0,170,Second House Rustaveli,Apartment,1.1,41.693060457156996,44.78551384334914
866,No,Yes,Excellent,Old Tbilisi,63.0,203,Guesthouse Kato,Family Room,0.3,41.69209658252052,44.79406059228808
867,No,Yes,Wonderful,Old Tbilisi,47.0,37,Heart of Old Tbilisi Apartments 2,Loft,0.3,41.69209658252052,44.79406059228808
868,Yes,Yes,Very Good,Old Tbilisi,94.0,72,Tamarisi Old Tbilisi,Standard Double Room,0.9,41.69209658252052,44.79406059228808
869,Yes,No,Very Good,Old Tbilisi,138.0,364,Tekla Palace By Urban Hotels,Standard Single Room,0.4,41.69209658252052,44.79406059228808
870,No,Yes,Good,Chugureti,31.0,160,Blossom hostel,Single Bed in Dormitory Room,1.1,41.72340168819495,44.82088685166248
871,Yes,Yes,Excellent,Chugureti,141.0,110,g.Vino Boutique Hotel,Double Room with Garden View,2.5,41.72340168819495,44.82088685166248
872,Yes,Yes,Excellent,Old Tbilisi,160.0,169,No12 Boutique Hotel,Standard Single Room,0.35,41.69209658252052,44.79406059228808
873,No,Yes,Wonderful,Old Tbilisi,44.0,67,Guest House Marina,Deluxe Double Room with Shower,0.25,41.69209658252052,44.79406059228808
874,No,Yes,Excellent,Old Tbilisi,77.0,167,Hotel Tourist,Standard Family Room,1.1,41.69209658252052,44.79406059228808
875,No,Yes,Very Good,Old Tbilisi,75.0,8,Liberty Apartment And Rooms,Deluxe Double Room with Balcony,0.15,41.69209658252052,44.79406059228808
876,Yes,Yes,Excellent,Chugureti,113.0,416,Gladius Inn Boutique Hotel,Standard Double or Twin Room,2.4,41.72340168819495,44.82088685166248
